,Missing Values,Missing Percentage
CS,2384,92.51067132324408
D,2384,92.51067132324408
PKA_PENALTY,2384,92.51067132324408
PKSV_PENALTY,2384,92.51067132324408
L,2384,92.51067132324408
PKATT_PENALTY,2384,92.51067132324408
PKM_PENALTY,2384,92.51067132324408
W,2384,92.51067132324408
SAVES,2384,92.51067132324408
SOTA,2384,92.51067132324408
GA,2384,92.51067132324408
OUTFITTER,1580,61.3116026387272
DIST_STANDARD,424,16.45324020178502
PLAYER_AGENT,248,9.623593325572372
MAX_PLAYER_VALUATION,210,8.149010477299184
FOOT,40,1.5521924718665114
HEIGHT,27,1.0477299185098952
JOINED,8,0.3104384943733023
DATE_OF_BIRTH,8,0.3104384943733023
PKCON,0,0.0
TKLW,0,0.0
PKWON,0,0.0
FLS,0,0.0
CRS,0,0.0
OFF,0,0.0
FLD,0,0.0
RECOV,0,0.0
2CRDY,0,0.0
CRSPA,0,0.0
PPA,0,0.0
FINAL_THIRD,0,0.0
KP,0,0.0
PRGDIST_TOTAL,0,0.0
TOTDIST_TOTAL,0,0.0
ATT_TOTAL,0,0.0
CMP_TOTAL,0,0.0
PLUS_PER__MINUS__TEAM.SUCCESS,0,0.0
OG,0,0.0
CLUB_NAME,0,0.0
WON_AERIAL,0,0.0
LOST_AERIAL,0,0.0
CLR,0,0.0
TKL+INT,0,0.0
INT,0,0.0
PASS_BLOCKS,0,0.0
SH_BLOCKS,0,0.0
BLOCKS_BLOCKS,0,0.0
LOST_CHALLENGES,0,0.0
ATT_CHALLENGES,0,0.0
TKL_CHALLENGES,0,0.0
ATT 3RD_TACKLES,0,0.0
MID 3RD_TACKLES,0,0.0
DEF 3RD_TACKLES,0,0.0
TKLW_TACKLES,0,0.0
TKL_TACKLES,0,0.0
GCA_GCA,0,0.0
SCA_SCA,0,0.0
ONG_TEAM.SUCCESS,0,0.0
ONGA_TEAM.SUCCESS,0,0.0
PRGR_RECEIVING,0,0.0
PPM_TEAM.SUCCESS,0,0.0
MIN_PLAYING,0,0.0
PRGP_PROGRESSION,0,0.0
PRGC_PROGRESSION,0,0.0
CRDR,0,0.0
CRDY,0,0.0
PKATT,0,0.0
PK,0,0.0
G_MINUS_PK,0,0.0
G+A,0,0.0
AST,0,0.0
GLS,0,0.0
STARTS_PLAYING,0,0.0
SH_STANDARD,0,0.0
MP_PLAYING,0,0.0
MAX_PLAYER_VALUATION_DATE,0,0.0
POSITION,0,0.0
AGE,0,0.0
CURRENT_INTERNATIONAL,0,0.0
UrlFBref,0,0.0
LEAGUE_COUNTRY,0,0.0
LEAGUE_NAME,0,0.0
CLUB_HREF,0,0.0
PLAYER_HREF,0,0.0
PRGR_PROGRESSION,0,0.0
SOT_STANDARD,0,0.0
UNSUB_SUBS,0,0.0
TOTDIST_CARRIES,0,0.0
SUBS_SUBS,0,0.0
COMPL_STARTS,0,0.0
PLAYER_VALUE,0,0.0
REC_RECEIVING,0,0.0
DIS_CARRIES,0,0.0
MIS_CARRIES,0,0.0
CPA_CARRIES,0,0.0
FINAL_THIRD_CARRIES,0,0.0
PRGC_CARRIES,0,0.0
PRGDIST_CARRIES,0,0.0
CARRIES_CARRIES,0,0.0
FK_STANDARD,0,0.0
TKLD_TAKE,0,0.0
SUCC_TAKE,0,0.0
ATT_TAKE,0,0.0
LIVE_TOUCHES,0,0.0
ATT PEN_TOUCHES,0,0.0
ATT 3RD_TOUCHES,0,0.0
MID 3RD_TOUCHES,0,0.0
DEF 3RD_TOUCHES,0,0.0
DEF PEN_TOUCHES,0,0.0
TOUCHES_TOUCHES,0,0.0
ERR,0,0.0
