,Column,Variance
1,HEIGHT,0.004074593809055733
55,2CRDY,0.06322310296366385
63,OG,0.06968191918708577
12,CRDR,0.17852898185412402
61,PKWON,0.2219405070028978
62,PKCON,0.2661835653552703
43,PPM_TEAM.SUCCESS,0.37543667953864895
83,ERR,0.47204541678050355
9,PK,0.5371408776371824
10,PKATT,0.7519369583768343
19,FK_STANDARD,3.65428778230595
6,AST,4.063998484793135
11,CRDY,7.955416864986065
8,G_MINUS_PK,8.83636169370843
5,GLS,11.331416148220018
73,ATT 3RD_TACKLES,12.285106754499903
68,GCA_GCA,17.41237498838273
0,AGE,19.76046774270761
58,OFF,21.526049309004065
7,G+A,22.581851981456147
54,CRSPA,22.7588115412017
18,DIST_STANDARD,24.136212820397493
41,SUBS_SUBS,28.76956461738186
42,UNSUB_SUBS,41.67543519955356
78,SH_BLOCKS,42.94761956898308
17,SOT_STANDARD,65.52622867655978
40,COMPL_STARTS,84.99556914610433
72,MID 3RD_TACKLES,85.76793657957455
79,PASS_BLOCKS,103.76198699822936
35,CPA_CARRIES,118.7301225895408
74,TKL_CHALLENGES,122.87956075895524
2,MP_PLAYING,124.11227106433408
3,STARTS_PLAYING,125.80920713555409
76,LOST_CHALLENGES,136.65052440806932
71,DEF 3RD_TACKLES,141.96188043383341
46,PLUS_PER__MINUS__TEAM.SUCCESS,160.95541404861558
70,TKLW_TACKLES,170.41510193850783
60,TKLW,170.41510193850783
53,PPA,183.9212034278014
77,BLOCKS_BLOCKS,190.87696617821504
80,INT,192.16444502024055
37,DIS_CARRIES,193.33141614821892
29,TKLD_TAKE,198.7434287050057
56,FLS,206.28336747008547
28,SUCC_TAKE,210.95566875406914
45,ONGA_TEAM.SUCCESS,231.54351643492626
51,KP,245.223681727673
57,FLD,263.94490036387566
44,ONG_TEAM.SUCCESS,295.14064599075823
34,FINAL_THIRD_CARRIES,381.4587484545171
16,SH_STANDARD,410.716875969887
66,LOST_AERIAL,414.87016798942255
36,MIS_CARRIES,454.4647121177142
75,ATT_CHALLENGES,454.7299629365672
69,TKL_TACKLES,473.4970313701372
65,WON_AERIAL,569.3836133391711
13,PRGC_PROGRESSION,746.6842257940027
33,PRGC_CARRIES,746.6842257940027
27,ATT_TAKE,988.1166364376273
67,SCA_SCA,1014.2000742113496
82,CLR,1102.279240256071
81,TKL+INT,1145.3978291421022
25,ATT PEN_TOUCHES,1394.107559805631
59,CRS,1591.4660437325751
52,FINAL_THIRD,2205.818394662127
14,PRGP_PROGRESSION,2893.8773611740853
64,RECOV,4086.4572151171624
15,PRGR_PROGRESSION,4239.729494539072
39,PRGR_RECEIVING,4239.729494539072
21,DEF PEN_TOUCHES,4575.787965193884
24,ATT 3RD_TOUCHES,41823.04173578511
22,DEF 3RD_TOUCHES,74544.96763075703
23,MID 3RD_TOUCHES,122772.24401715041
30,CARRIES_CARRIES,184294.6777284289
38,REC_RECEIVING,209110.13930592663
47,CMP_TOTAL,244060.13190309834
48,ATT_TOTAL,341063.4149102503
26,LIVE_TOUCHES,457045.5065295791
20,TOUCHES_TOUCHES,457197.20685884485
4,MIN_PLAYING,899515.9011227114
32,PRGDIST_CARRIES,1510545.8109707122
31,TOTDIST_CARRIES,5526360.177946704
50,PRGDIST_TOTAL,10202599.781966291
49,TOTDIST_TOTAL,81638793.9247787
84,ID,48560902212.456825
